BBC|Би-би-си|British Broadcasting Corporation|prop
BBS|электронная доска объявлений, ЭДО|bulletin board system|n
BC|до Р. Хр.|before Christ|initialism
BCE|до н. э., до нашей эры|before the common era|initialism
BCG|БЦЖ|Bacillus of Calmette and Guérin|n
béchamel sauce|бешамель|white sauce made with butter, flour and milk|n
Béchamp|Бешан|Francophone surname|prop
Będzin|Бендзин|the town Będzin|prop
be|быть, находиться|occupy a place|v
be|быть, происходить, произойти|occur, take place|v
be|быть, существовать|exist|v
be|быть, приходить, прийти|elliptical form of "be here", or similar|v
be|быть, являться|used to indicate that the subject and object are the same|v
be|равняться, равно, быть,], получиться, составить, это, —|used to indicate that the values on either side of an equation are the same|v
be|быть, являться|used to indicate that the subject plays the role of the predicate nominal|v
be|быть|used to connect a noun to an adjective that describes it|v
be|быть|used to indicate that the subject has the qualities described by a noun or noun phrase|v
be|быть|used to form the passive voice|v
be||used to form the continuous forms of various tenses|v
be|Not used in Russian||v
be|быть|used to form future tenses, especially the future subjunctive|v
be||used to indicate weather, air quality, or the like|v
be able to|мочь, смочь, быть в состоянии, уметь, суметь|have ability to|v
beach|пляж, взморье|sandy shore|n
beach ball|надувной мяч, пляжный мяч|a large light inflatable ball used in beach games|n
beachgoer|пляжник|someone who goes to the beach|n
beach hut||building for changing into swimming clothes|n
beach soccer|пляжный футбол|variant of soccer|n
beach towel|пляжное полотенце|towel used at the beach|n
beach volleyball|пляжный волейбол|sport|n
beach volleyball|волейбольный мяч|ball|n
beacon|сигнальный огонь|signal fire|n